id,value
id_0,25.701606348406504
id_1,64.45569402787976
id_2,19.409341025958696
id_3,28.54262722536817
id_4,9.276561413201671
id_5,30.17364892087275
id_6,41.59811303184218
id_7,16.367231635121918
id_8,50.772024769312765
id_9,32.67173885015634
id_10,37.78100558387985
id_11,58.40166902363657
id_12,35.795926951979396
id_13,38.04836026549343
id_14,29.006595517550416
id_15,11.94605459140575
id_16,51.36272852676411
id_17,22.688727070222065
id_18,15.503148759318725
id_19,17.451046179315505
id_20,15.483939562246142
id_21,29.492906458279865
id_22,39.97322245369214
id_23,9.980079395153096
id_24,61.40507973464258
id_25,45.865361070253975
id_26,26.51787286296138
id_27,7.511577271148666
id_28,29.369456511050377
id_29,35.552395827378206
id_30,17.63837580192559
id_31,11.52246959858122
id_32,16.586291637479462
id_33,7.574827856527616
id_34,16.047865630720864
id_35,43.578409012060895
id_36,23.03508657342791
id_37,27.816924941683947
id_38,10.442438505385732
id_39,56.95920169887616
id_40,46.00926209964492
id_41,20.54798224741163
id_42,53.49942115096508
id_43,18.53334331132153
id_44,43.708130771204786
id_45,50.064145174601535
id_46,58.192669472333804
id_47,40.89292337069734
id_48,54.619680460276534
id_49,38.9121224337005
id_50,30.882692640756837
id_51,22.837469930730265
id_52,42.048084866656055
id_53,25.18919838092255
id_54,36.5145991543185
id_55,38.5786135672362
id_56,24.49549276339687
id_57,20.965358564520955
id_58,35.936269240638545
id_59,33.04318785952916
id_60,11.76368473656066
id_61,24.0775256128249
id_62,31.358356820752782
id_63,51.6877619381322
id_64,49.949498373712565
id_65,26.203506924306126
id_66,37.794507973786786
id_67,52.058864270639916
id_68,29.310563784301777
id_69,38.92391949348946
id_70,64.85061721171991
id_71,55.59302846619986
id_72,42.44545037299159
id_73,14.5110383242549
id_74,13.68059831631208
id_75,35.284250123562195
id_76,62.947260366070964
id_77,2.194121754904962
id_78,42.27141714767196
id_79,41.69688165893651
id_80,8.799091538662777
id_81,21.07294390224338
id_82,5.947828420882051
id_83,32.064396872541906
id_84,7.958511911704312
id_85,4.968280765770316
id_86,17.07930972608867
id_87,11.755109459256206
id_88,18.138233260904922
id_89,21.89684516291646
id_90,35.42576446837641
id_91,12.459781444713053
id_92,11.503439401218044
id_93,10.64403402666121
id_94,36.87619374538623
id_95,15.175895811539396
id_96,17.305526193840596
id_97,9.16189964630809
id_98,10.491299428450173
id_99,4.837143509917272
id_100,10.27034188925262
id_101,18.774511917649356
id_102,11.346168438716118
id_103,9.175888350236232
id_104,13.00759652019045
id_105,36.581480939480386
id_106,22.81427230728217
id_107,8.387092100426052
id_108,17.48428935196797
id_109,16.124289330758174
id_110,11.092092252353577
id_111,14.652156285195174
id_112,16.424509236297947
id_113,24.636246912247373
id_114,20.10841250607669
id_115,15.466004200661894
id_116,9.127332853273275
id_117,43.56236607204521
id_118,25.604781398005425
id_119,0.9789917148068424
id_120,0.26147524552260487
id_121,10.395487710900921
id_122,12.48299210937936
id_123,11.895455247936638
id_124,7.224751782098704
id_125,25.081792219342567
id_126,23.667483655234125
id_127,9.173208787240757
id_128,19.44552771808001
id_129,13.115385390338062
id_130,-0.39331333496458953
id_131,31.933288242023192
id_132,15.5158033378078
id_133,22.028791486286423
id_134,26.9711578422371
id_135,25.356015102735643
id_136,9.90800857216388
id_137,22.83768605729436
id_138,78.24188719825656
id_139,62.93734142011702
id_140,27.78139330307878
id_141,18.91307985664577
id_142,24.517694473132398
id_143,7.225910134480602
id_144,14.404564646080557
id_145,9.481704426161336
id_146,19.725050600863536
id_147,7.391568594381303
id_148,12.31070836997629
id_149,16.327282514267413
id_150,45.45550816112217
id_151,19.24142411044331
id_152,21.82560223566144
id_153,13.956254274903518
id_154,14.176308827640613
id_155,23.61192359142624
id_156,24.21990812492266
id_157,37.15261028010936
id_158,3.4243397785422935
id_159,22.63550775167916
id_160,41.34481396942138
id_161,19.197974127078425
id_162,60.52281096783317
id_163,16.53248725012982
id_164,34.0251563495651
id_165,25.12224108197708
id_166,22.035027830697533
id_167,0.5646297172337972
id_168,68.6801262228073
id_169,16.11851940921975
id_170,15.997034389758808
id_171,70.61398142997956
id_172,20.557597844984045
id_173,2.5813741732787365
id_174,24.13095063095584
id_175,-0.12506859361671957
id_176,9.00896285373656
id_177,18.11666072340797
id_178,22.542002464502477
id_179,24.224702498074556
id_180,42.426911092860315
id_181,34.299556000587955
id_182,30.80259807959985
id_183,14.684387520754528
id_184,7.304340718390405
id_185,42.14187723415341
id_186,35.806714158690156
id_187,33.81344017708678
id_188,15.189672922502245
id_189,24.533715823823364
id_190,14.375703076952057
id_191,15.004678983707944
id_192,29.74344738345427
id_193,73.77007581802596
id_194,31.91443111327889
id_195,10.803626207067527
id_196,62.11242890970385
id_197,17.875872974267647
id_198,19.96411574451461
id_199,20.86863842624113
id_200,122.7393391059128
id_201,22.79905970701408
id_202,58.385707280135236
id_203,4.326510460622649
id_204,58.88808708164587
id_205,33.9851275901279
id_206,14.602329288633173
id_207,15.23483690129401
id_208,60.60117270273017
id_209,14.002788591423661
id_210,38.519879737407685
id_211,68.1339133474693
id_212,19.16194654525142
id_213,113.96648885469337
id_214,40.5951221716768
id_215,75.99465313151408
id_216,90.30820848282933
id_217,70.98481568201512
id_218,30.595332416461297
id_219,21.92179892839362
id_220,30.176640084240738
id_221,56.353198044328636
id_222,25.838322146481204
id_223,38.673417932524906
id_224,42.960622916369196
id_225,9.651197995016947
id_226,5.94472776682254
id_227,81.61204075904007
id_228,29.215201786622508
id_229,1.9120325702060772
id_230,39.865688829884846
id_231,14.8070168662103
id_232,22.35528139551775
id_233,6.995626380058089
id_234,16.068873735400754
id_235,25.13452844697544
id_236,14.403167145810732
id_237,3.5273233417910226
id_238,23.179122676164667
id_239,13.159372376575984
